SOURCE_FILE,OACI,CIAD,NAME,MUNICIPIO,UF,ALT_M,OPERAÇÃO,OP_DIURNA,OP_NOTURNA,LAT_DD,LON_DD,N_RWYS,RUNWAY1_D_NM,RUNWAY2_D_NM,RUNWAY3_D_NM,RUNWAY1_LEN_M,RUNWAY2_LEN_M,RUNWAY3_LEN_M,RUNWAY1_WID_M,RUNWAY2_WID_M,RUNWAY3_WID_M,DATASET_TYPE
2025_08_22_BR_aerodromes_public,SSSS,SC0022,SÃO FRANCISCO DO SUL,SÃO FRANCISCO DO SUL,SC,15.0,VFR Diurno,,,-26.22111111111111,-48.56444444444444,1,180.0,,,700.0,,,35.0,,,heliport
2025_08_22_BR_aerodromes_public,SSST,RS0015,SANTIAGO,SANTIAGO,RS,441.0,VFR Diurno,,,-29.215,-54.84166666666667,1,170.0,,,830.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SSSZ,PR0033,SERTANÓPOLIS,SERTANÓPOLIS,PR,361.0,VFR Diurno,,,-23.061944444444446,-51.013888888888886,1,100.0,,,1023.0,,,25.0,,,heliport
2025_08_22_BR_aerodromes_public,SSTB,SC0013,TRÊS BARRAS,TRÊS BARRAS,SC,789.0,VFR Diurno,,,-26.135277777777777,-50.31055555555555,1,40.0,,,1330.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSUM,PR0019,ORLANDO DE CARVALHO,UMUARAMA,PR,473.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-23.799166666666668,-53.31388888888888,1,40.0,,,1430.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSUV,PR0034,JOSÉ CLETO,UNIÃO DA VITÓRIA,PR,750.0,VFR Diurno,,,-26.231944444444444,-51.0675,1,170.0,,,755.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SBVC,BA0005,GLAUBER DE ANDRADE ROCHA,VITÓRIA DA CONQUISTA,BA,894.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-14.907777777777778,-40.914722222222224,1,150.0,,,2100.0,,,45.0,,,heliport
2025_08_22_BR_aerodromes_public,SSVI,SC0011,ÂNGELO PONZONI,VIDEIRA,SC,843.0,VFR Diurno/Noturno,,,-26.999722222222225,-51.14138888888889,1,100.0,,,1400.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SSVL,PR0007,TELÊMACO BORBA,TELÊMACO BORBA,PR,796.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-24.31638888888889,-50.65222222222222,1,20.0,,,1800.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSVN,RS0030,VERANÓPOLIS,VERANÓPOLIS,RS,676.0,VFR Diurno,,,-28.935555555555556,-51.56777777777778,1,120.0,,,1000.0,,,18.0,,,heliport
